timestamp_ms,acceleration_x_m_s2,acceleration_y_m_s2,acceleration_z_m_s2
18723,9.53,0.89,0.48
18760,9.49,0.82,0.63
18795,9.52,0.77,0.52
18829,9.55,0.91,0.35
18864,9.52,0.82,0.46
18902,9.54,0.89,0.48
18936,9.51,0.84,0.4
18971,9.55,0.93,0.44
19008,9.5,0.78,0.49
19042,9.5,0.82,0.41
19075,9.54,0.86,0.56
19108,9.54,0.98,0.44
19145,9.56,0.96,0.38
19179,9.52,0.92,0.54
19214,9.51,0.82,0.54
19249,9.56,0.95,0.24
19284,9.53,0.87,0.39
19319,9.52,0.86,0.56
19354,9.54,0.85,0.4
19390,9.55,0.91,0.43
19424,9.53,0.86,0.28
19459,9.51,0.82,0.46
19494,9.53,0.89,0.36
19530,9.52,0.85,0.41
19565,9.55,0.96,0.34
19600,9.54,0.93,0.47
19635,9.52,0.88,0.31
19673,9.54,0.9,0.3
19707,9.55,0.95,0.45
19742,9.5,0.93,0.49
19778,9.54,0.93,0.36
19813,9.52,0.85,0.38
19848,9.53,0.93,0.37
19881,9.59,1.03,0.34
19918,9.52,0.93,0.47
19953,9.55,0.9,0.36
19988,9.54,0.94,0.38
20025,9.52,0.9,0.46
20060,9.52,0.95,0.41
20096,9.54,0.9,0.34
20128,9.54,0.91,0.27
20166,9.48,0.88,0.58
20200,9.5,0.96,0.68
20233,9.54,0.91,0.26
20269,9.52,0.96,0.45
20305,9.52,0.94,0.51
20340,9.52,0.95,0.5
20374,9.56,0.87,0.13
20412,9.55,0.94,0.35
20446,9.51,0.94,0.52
20478,9.56,0.97,0.23
20513,9.53,1.07,0.5
20551,9.54,1.08,0.58
20584,9.53,1.03,0.53
20619,9.54,1.07,0.49
20656,9.58,1.0,0.32
20690,9.55,1.06,0.45
20724,9.5,1.02,0.51
20759,9.54,0.98,0.4
20918,9.48,0.92,0.63
20954,9.56,1.12,0.53
20987,9.54,1.03,0.26
21021,9.52,0.87,0.41
21059,9.52,1.01,0.55
21094,9.53,0.94,0.43
21127,9.54,0.97,0.3
21165,9.55,1.0,0.4
21199,9.55,1.02,0.56
21233,9.54,1.06,0.58
21268,9.52,0.92,0.35
21306,9.5,0.89,0.6
21339,9.46,0.74,0.48
21373,9.52,0.92,0.52
21407,9.52,0.99,0.5
21445,9.56,1.03,0.47
21478,9.56,1.01,0.41
21514,9.52,0.98,0.46
21551,9.53,1.02,0.56
21586,9.53,1.03,0.61
21621,9.54,1.07,0.54
21656,9.52,0.91,0.41
21694,9.53,0.98,0.52
21728,9.52,0.97,0.44
21763,9.49,0.92,0.59
21799,9.51,0.87,0.52
21832,9.55,0.93,0.3
21867,9.59,1.1,0.46
21902,9.53,0.96,0.56
21940,9.51,1.05,0.59
21974,9.5,1.04,0.6
22008,9.52,0.98,0.67
22044,9.52,1.09,0.46
22080,9.61,0.96,0.42
22114,9.49,1.01,0.61
22149,9.57,1.01,0.41
22185,9.54,1.03,0.56
22220,9.52,0.96,0.54
22255,9.51,0.88,0.41
22288,9.56,1.03,0.48
22325,9.55,0.91,0.26
22360,9.67,1.03,-0.09
22393,9.35,0.96,-1.41
22426,9.85,1.12,-1.8
22464,7.78,0.9,0.12
22499,8.11,2.08,1.72
22532,7.27,1.55,-1.07
22569,5.01,2.22,3.66
22605,2.28,0.88,6.83
22638,4.25,1.11,7.43
22673,3.67,0.9,8.4
22711,1.11,0.76,10.89
22746,-0.26,0.42,9.93
22778,3.01,-1.49,7.52
22816,7.35,-10.09,-24.09
22851,-0.66,0.98,9.5
22884,-0.78,0.67,9.44
22919,-0.76,0.74,9.55
22957,-0.71,0.7,9.53
22990,-0.73,0.67,9.57
23024,-0.67,0.72,9.5
23062,-0.59,0.84,9.6
23095,-0.54,0.8,9.5
23128,-0.66,0.75,9.53
23162,-0.67,0.72,9.51
23198,-0.69,0.68,9.52
23232,-0.64,0.8,9.56
23267,-0.66,0.64,9.48
23302,-0.71,0.82,9.59
23337,-0.54,1.06,9.48
23372,-0.81,0.55,9.54
23408,-0.73,0.72,9.5
23444,-0.7,0.85,9.55
23477,-0.71,0.8,9.52
23512,-0.73,0.72,9.52
23545,-0.68,0.89,9.51
23580,-0.72,0.76,9.5
23615,-0.77,0.9,9.54
23650,-0.34,1.44,9.58
23683,-0.5,1.29,9.48
23720,-0.57,1.21,9.55
23756,-0.53,1.19,9.51
23789,-0.59,1.13,9.51
23827,-0.59,1.15,9.55
23862,-0.57,1.17,9.51
23896,-0.6,1.18,9.5
23929,-0.57,1.19,9.54
23968,-0.57,1.14,9.52
24002,-0.55,1.16,9.54
24038,-0.6,1.15,9.53
24073,-0.57,1.14,9.53
24111,-0.59,1.14,9.51
24145,-0.6,1.16,9.54
24178,-0.57,1.14,9.53
24216,-0.6,1.15,9.5
24251,-0.58,1.18,9.49
24285,-0.59,1.15,9.49
24320,-0.6,1.11,9.56
24357,-0.57,1.14,9.51
24392,-0.57,1.15,9.5
24427,-0.59,1.14,9.47
24461,-0.59,1.15,9.58
24499,-0.56,1.12,9.49
24532,-0.57,1.15,9.54
24567,-0.59,1.16,9.56
24605,-0.61,1.09,9.53
24640,-0.59,1.16,9.51
24675,-0.56,1.15,9.52
24710,-0.57,1.14,9.54
24747,-0.61,1.13,9.5
24780,-0.58,1.16,9.55
24815,-0.56,1.15,9.51
24850,-0.56,1.13,9.53
24886,-0.58,1.15,9.53
24921,-0.57,1.14,9.5
24955,-0.57,1.15,9.56
24993,-0.62,1.14,9.53
25027,-0.6,1.16,9.48
25062,-0.57,1.15,9.53
25097,-0.6,1.14,9.52
25133,-0.6,1.15,9.51
25167,-0.58,1.14,9.52
25202,-0.58,1.13,9.53
25236,-0.53,1.22,9.69
25283,-0.56,1.23,9.55
25319,-0.64,1.02,9.63
25354,-0.45,1.13,9.52
25389,-0.66,1.19,9.53
25426,-0.61,1.03,9.52
25461,-0.58,1.1,9.59
25496,-0.59,1.21,9.5
25532,-0.53,1.16,9.55
25567,-0.59,1.14,9.54
25602,-0.61,1.17,9.51
25635,-0.58,1.14,9.53
25672,-0.58,1.11,9.53
25707,-0.56,1.15,9.51
25742,-0.59,1.13,9.55
25777,-0.58,1.15,9.5
25814,-0.59,1.16,9.55
25848,-0.59,1.12,9.56
25882,-0.55,1.15,9.5
25920,-0.6,1.13,9.54
25955,-0.59,1.15,9.52
25990,-0.58,1.15,9.5
26024,-0.58,1.15,9.52
26062,-0.57,1.13,9.56
26097,-0.58,1.16,9.66
26130,-0.59,1.16,9.48
26165,-0.56,1.13,9.51
26203,-0.58,1.12,9.49
26236,-0.57,1.14,9.43
26271,-0.58,1.16,9.56
26309,-0.56,1.16,9.5
26344,-0.58,1.13,9.46
26378,-0.59,1.14,9.48
26413,-0.57,1.15,9.52
26450,-0.56,1.13,9.52
26484,-0.6,1.18,9.5
26520,-0.56,1.14,9.52
26555,-0.58,1.15,9.54
26593,-0.59,1.14,9.51
26627,-0.59,1.15,9.52
26661,-0.56,1.13,9.53
26699,-0.59,1.15,9.53
26733,-0.59,1.16,9.49
26768,-0.58,1.14,9.52
26803,-0.56,1.13,9.52
26841,-0.57,1.16,9.53
26875,-0.57,1.16,9.52
26910,-0.58,1.13,9.55
26945,-0.57,1.16,9.52
26982,-0.58,1.17,9.51
27017,-0.56,1.16,9.51
27052,-0.57,1.17,9.51
27088,-0.6,1.15,9.51
27123,-0.58,1.15,9.52
27158,-0.55,1.17,9.53
27193,-0.57,1.16,9.5
27230,-0.6,1.16,9.5
27265,-0.58,1.15,9.5
27300,-0.58,1.17,9.54
27334,-0.57,1.16,9.49
27372,-0.58,1.13,9.54
27407,-0.57,1.14,9.54
27442,-0.59,1.14,9.51
27480,-0.57,1.16,9.53
27514,-0.56,1.15,9.53
27549,-0.58,1.15,9.54
27583,-0.59,1.16,9.5
27621,-0.59,1.14,9.52
27656,-0.59,1.15,9.54
27692,-0.58,1.17,9.52
27726,-0.58,1.17,9.52
27763,-0.56,1.15,9.53
27798,-0.56,1.14,9.51
27832,-0.59,1.12,9.52
27870,-0.57,1.16,9.51
27905,-0.57,1.16,9.52
27940,-0.58,1.14,9.53
27975,-0.58,1.14,9.5
28013,-0.49,1.16,9.39
28048,-0.58,1.16,9.57
28081,-0.55,1.16,9.41
28115,-0.7,1.11,9.58
28153,-0.57,1.2,9.5
28188,-0.56,1.13,9.63
28223,-0.55,1.16,9.48
28261,-0.59,1.2,9.55
28296,-0.6,1.15,9.58
28329,-0.56,1.17,9.55
28364,-0.56,1.16,9.48
28403,-0.58,1.17,9.55
28437,-0.58,1.15,9.51
28472,-0.59,1.17,9.54
28508,-0.57,1.17,9.52
28546,-0.56,1.17,9.54
28579,-0.58,1.16,9.5
28614,-0.62,1.15,9.54
28652,-0.59,1.16,9.54
28686,-0.59,1.17,9.53
28721,-0.56,1.17,9.53
28755,-0.58,1.17,9.52
28793,-0.57,1.16,9.52
28828,-0.57,1.17,9.51
28863,-0.58,1.16,9.52
28898,-0.55,1.16,9.5
28934,-0.59,1.18,9.56
28969,-0.56,1.15,9.45
29004,-0.59,1.15,9.52
29041,-0.54,1.19,9.52
29077,-0.56,1.13,9.55
29112,-0.58,1.16,9.51
29147,-0.59,1.15,9.5
29184,-0.57,1.16,9.52
29218,-0.63,1.14,9.55
29253,-0.56,1.17,9.52
29288,-0.58,1.13,9.52
29326,-0.59,1.17,9.51
29361,-0.57,1.16,9.51
29395,-0.58,1.17,9.59
29432,-0.58,1.17,9.48
